id,jenis_usaha,judul,kbli,kementrian,perizinan,sub_kbli,uraian
498,,"INDUSTRI PENGOLAHAN TEMBAKAU",120,,,,"Golongan ini mencakup pembuatan tembakau atau produk pengganti tembakau, seperti rokok, cerutu, cangklong, snuff, chewing; dan pemotongan serta pengeringan kembali tembakau tetapi tidak mencakup penanaman atau pengolahan awal tembakau."
499,,"INDUSTRI ROKOK DAN PRODUK TEMBAKAU LAINNYA",1201,,,,"Subgolongan ini mencakup :- Industri produk tembakau dan produk tembakau pengganti, seperti rokok, rokok tembakau, cerutu, tembakau pipa, tembakau yang dikunyah dan tembakau sedot (snuff)Subgolongan ini tidak mencakup:- Usaha pembungkusan/pengepakan/pelabelan rokok, lihat 4633 (jika kegiatannya sebagai bagian dari perdagangan besar) dan 8292 (jika kegiatannya atas dasar balas jasa atau kontrak)"
500,,"INDUSTRI SIGARET KRETEK TANGAN",12011,,,,"Kelompok ini mencakup usaha pembuatan kretek yang mengandung tembakau rajangan, krosok rajang, cengkeh rajang, dan tambahan bahan- bahan perisa, yang menghasilkan campuran beraroma khas, dilinting dengan berbagai bahan pembungkus (ambri/papir/tipping). Termasuk industri kretek tangan, kretek tangan dan kretek tangan filter."
501,,"INDUSTRI ROKOK PUTIH",12012,,,,"Kelompok ini mencakup usaha pembuatan rokok putih yang tidak mengandung komponen cengkeh."
502,,"INDUSTRI SIGARET KRETEK MESIN",12013,,,,"Kelompok ini mencakup usaha pembuatan kretek yang mengandung tembakau rajangan, krosok rajang, cengkeh rajang, dan tambahan bahan- bahan perisa, yang menghasilkan campuran beraroma khas, dilinting dengan berbagai bahan pembungkus (ambri/papir/tipping). Termasuk industri kretek mesin."
503,,"INDUSTRI ROKOK LAINNYA",12019,,,,"Kelompok ini mencakup usaha pembuatan rokok lainnya, selain kretek atau rokok putih, seperti cerutu, rokok kelembak menyan dan rokok klobot/kawung, tembakau iris (TIS), cerutek, dan hasil pengolahan tembakau lainnya (HPTL). Termasuk industri tembakau pipa, tembakau yang dikunyah dan tembakau sedot (snuff)."
504,,"INDUSTRI PENGOLAHAN TEMBAKAU LAINNYA",1209,,,,"Subgolongan ini mencakup :- Pengeringan dan pengolahan tembakau lainnya -Industri homogenisasi atau rekonstitusi tembakau- Industri bumbu rokok dan kelengkapan rokok lainnyaSubgolongan ini tidak mencakup :- Penanaman atau proses pengolahan awal tembakau, lihat 0115, 0163"
505,,"INDUSTRI PENGERINGAN DAN PENGOLAHAN TEMBAKAU",12091,,,,"Kelompok ini mencakup usaha pengeringan daun tembakau dengan pengasapan atau dengan cara lain termasuk juga usaha perajangan daun tembakau."
506,,"INDUSTRI BUMBU ROKOK SERTA KELENGKAPAN ROKOK LAINNYA",12099,,,,"Kelompok ini mencakup industri pengolahan tembakau yang belum diklasifikasikan ditempat lain, seperti industri homogenisasi atau rekonstitusi tembakau dan tembakau bersaus. Termasuk pembuatan bumbu rokok, serta kelengkapan rokok lainnya, seperti kelembak menyan, saus rokok/tembakau, uwur, klobot, kawung serta pembuatan filter."
507,,"INDUSTRI TEKSTIL",13,,,,"Golongan pokok ini mencakup persiapan dan pemintalan, serat tekstil serta pertenunan, penyempurnaan tekstil dan pakaian jadi, pembuatan barang- barang tekstil bukan pakaian (seperti sprei, taplak meja, gorden, selimut, permadani, tali temali dan lain-lain). Golongan pokok ini tidak mencakup penanaman serat alami (golongan pokok 01) atau pembuatan serat sintetis masuk dalam subgolongan 2030 dan pembuatan pakaian masuk dalam golongan pokok 14."
508,,"INDUSTRI PEMINTALAN, PERTENUNAN DAN PENYEMPURNAAN TEKSTIL",131,,,,"Golongan ini mencakup pembuatan tekstil, termasuk persiapan, pengolahan, pemintalan serat tekstil dan pertenunan. Tekstil dapat dibuat dari berbagai bahan baku,seperti sutera, wol, serat rambut hewan lainnya, serat tumbuhan atau serat buatan, serat dari bubur kayu atau serat kaca, dan serat lain-lain. Golongan ini juga mencakup penyempurnaan tekstil dan bahan pakaian jadi, seperti pengelantangan, pencelupan dan kegiatan lainnya."
509,,"INDUSTRI PERSIAPAN DAN PEMINTALAN SERAT TEKSTIL",1311,,,,"Subgolongan ini mencakup :- Persiapan pengolahan serat tekstil, seperti proses penggulungan dan pencucian sutera, degreasasi dan karbonisasi wol dan pencelupan wol bulu domba, pemisahan serat (carding) dan penyisiran serat (combing) semua jenis serat dari rambut hewan, serat tumbuhan dan serat buatan manusia - Pemintalan dan pembuatan benang atau benang jahit untuk pertenunan atau penjahitan yang dijual eceran maupun untuk diproses selanjutnya, seperti proses penteksturan, pemberian antihan (twisting), pelipatan (folding), penggabungan (cabling) dan pencelupan benang sintetis atau benang artifisialSubgolongan ini tidak mencakup :- Retting tanaman tumbuhan serat tekstil (rami, serabut rami) lihat 0116 - Pemisahan biji kapas, lihat 0163- Industri tow sintetis dan artifisial, industri benang tunggal (termasuk benang berkekuatan tinggi dan benang untuk karpet) dari serat sintetis maupun artifisial (dari bubur kayu), lihat 2030- Industri serat kaca, lihat 2312"
510,,"INDUSTRI PERSIAPAN SERAT TEKSTIL",13111,,,,"Kelompok ini mencakup usaha persiapan serat tekstil, seperti reeling (pilin/menggulung) dan pencucian serat sutera, degreasasi (penghilangan lemak) dan karbonisasi wol dan pencelupan bulu domba, termasuk proses penyusunan dan penyisiran (carding atau combing) dari serat rambut hewan serat tumbuhan, dan serat buatan (sintetis dan artifisial)."
511,,"INDUSTRI PEMINTALAN BENANG",13112,,,,"Kelompok ini mencakup usaha pemintalan serat menjadi benang, kecuali benang jahit. Termasuk kegiatan penteksturan, penyimpulan, pelipatan dan pencucian benang rajutan filamen sintetis dan benang artifisial (dari bubur kayu)."
512,,"INDUSTRI PEMINTALAN BENANG JAHIT",13113,,,,"Kelompok ini mencakup usaha pembuatan benang jahit, baik dengan bahan baku serat maupun benang. termasuk kegiatan penteksturan, penyimpulan, pelipatan dan pencucian benang jahit."
513,,"INDUSTRI PERTENUNAN TEKSTIL",1312,,,,"Subgolongan ini mencakup :- Industri pertenunan dengan benang kapas, benang wol atau benang sutera, termasuk dari benang campuran baik artifisial maupun sintetis.- Industri kain tenun lainnya, dengan benang yang berasal dari flax (linen), rami, hemp, jute, serat bast dan benang khusus.Subgolongan ini juga mencakup :- Industri kain berbulu (pile atau chenille), bahan untuk handuk, kain ihram, kain kasa, kain gorden dan lain-lain.- Industri kain tenun dari benang serat kaca- Industri kain tenun dari benang karbon dan benang aramid- Industri kain bulu imitasiSubgolongan ini tidak mencakup :- Industri kain rajutan dan sulaman, lihat 1391- Industri tekstil penutup lantai, lihat 1393- Industri kain bukan tenun dan lakan atau bulu kempa, lihat 1399 - Industri tekstil narrow (pita/webbing), lihat 1399"
514,,"INDUSTRI PERTENUNAN (BUKAN PERTENUNAN KARUNG GONI DAN KARUNG LAINNYA)",13121,,,,"Kelompok ini mencakup usaha pertenunan, baik yang dibuat dengan alat gedogan, alat tenun bukan mesin (ATBM), alat tenun mesin (ATM) ataupun alat tenun lainnya, termasuk pembuatan sarung, kecuali industri kain tenun ikat. Usaha pertenunan karung goni dan karung lainnya dimasukkan dalam kelompok 13925, 13926, 13929."
515,,"INDUSTRI KAIN TENUN IKAT",13122,,,,"Kelompok ini mencakup usaha pembuatan kain tenun ikat dan usaha pewarnaan benang dengan cara mengikat terlebih dahulu."
516,,"INDUSTRI BULU TIRUAN TENUNAN",13123,,,,"Kelompok ini mencakup usaha pembuatan bulu tiruan dengan penenunan."
517,,"INDUSTRI PENYEMPURNAAN TEKSTIL",1313,,,,"Subgolongan ini mencakup :- Pemutihan dan pencelupan serat tekstil, benang, kain dan barang-barang tekstil termasuk pakaian jadi- Penyiapan, pengeringan, penguapan, penyusutan, penambalan, sanforizing, mercerizing kain dan barang-barang tekstil termasuk pakaian jadiSubgolongan ini juga mencakup :- Pengelantangan jeans- Pelipatan kain dan pengerjaan sejenis pada tekstil- Pembuatan tahan air, pelapisan, pelapisan dengan karet, atau impregnasi pakaian- Pencetakan dengan menggunakan media perantara seperti kasa dan sebagainya pada kain dan pakaian jadiSubgolongan ini tidak mencakup :- Industri kain yang di-impregnasi, dilapisi, ditutupi, atau dilaminasi dengan karet di mana karet tersebut menjadi unsur utamanya, lihat 2219"
518,,"INDUSTRI PENYEMPURNAAN BENANG",13131,,,,"Kelompok ini mencakup usaha pengelantangan, pencelupan dan penyempurnaan lainnya untuk benang maupun benang jahit."
519,,"INDUSTRI PENYEMPURNAAN KAIN",13132,,,,"Kelompok ini mencakup usaha pengelantangan, pencelupan dan penyempurnaan lainnya untuk kain."
520,,"INDUSTRI PENCETAKAN KAIN",13133,,,,"Kelompok ini mencakup usaha pencetakan kain dengan media perantara seperti kasa dan sebagainya, termasuk juga pencetakan kain motif batik."
521,,"INDUSTRI BATIK",13134,,,,"Kelompok ini mencakup usaha pembatikan dengan proses malam (lilin), baik yang dilakukan dengan tulis, cap maupun kombinasi antara cap dan tulis."
522,,"INDUSTRI TEKSTIL LAINNYA",139,,,,"Golongan ini mencakup pembuatan barang jadi dari tekstil kecuali pakaian jadi, seperti bahan rajutan, barang-barang tekstil, karpet dan permadani, tali temali, benang ikat, jaring, bahan lapisan, kain pita, bahan hiasan, gorden, kerai, tenda kemping, layar dan kain penutup mobil, bendera, parasut dan baju pelampung."
523,,"INDUSTRI KAIN RAJUTAN DAN SULAMAN",1391,,,,"Subgolongan ini mencakup :- Industri pengolahan dan pembuatan kain rajutan atau sulaman untuk handuk, kain ihram, vitrase dan kain rajutan untuk perlengkapan jendela yang dibuat dengan mesin Raschel atau sejenisnya dan kain rajutan dan sulaman lainnya- Industri bulu binatang tiruan dengan cara dirajutSubgolongan ini tidak mencakup :- Industri jaring dan perlengkapan jendela dengan jenis kain dengan tali yang dirajut pada mesin Raschel dan sejenisnya, lihat 1399- Industri pakaian jadi yang dirajut dan disulam, lihat 1430"
524,,"INDUSTRI KAIN RAJUTAN",13911,,,,"Kelompok ini mencakup usaha pembuatan kain yang dibuat dengan cara rajut seperti handuk, kain ihram, vitrase."
525,,"INDUSTRI KAIN SULAMAN",13912,,,,"Kelompok ini mencakup usaha kain sulaman dikerjakan dengan tangan."
526,,"INDUSTRI BULU TIRUAN RAJUTAN",13913,,,,"Kelompok ini mencakup usaha pembuatan bulu tiruan rajutan."
527,,"INDUSTRI PEMBUATAN BARANG TEKSTIL, BUKAN PAKAIAN JADI",1392,,,,"Subgolongan ini mencakup :- Industri pembuatan barang-barang dari berbagai bahan kain, termasuk kain rajutan atau sulaman, seperti selimut, termasuk permadani untuk bepergian; linen untuk kasur, linen untuk meja (taplak), sarung alas kursi, linen untuk dapur atau toilet; dan selimut kapas, selimut bulu angsa, bantal kursi, bantal, guling, kantong tidur dan lain-lain- Industri pembuatan barang-barang perlengkapan, seperti gorden, kelambu, sprei, kerai, penutup mesin atau perabotan; terpal, tenda, perlengkapan untuk berkemah, layar, pelindung dari cahaya matahari, penutup mobil, mesin dan perabot dan lain-lain; bendera, spanduk, umbul- umbul dan lain-lain; lap pembersih, serbet piring dan barang perlengkapan sejenisnya, jaket keselamatan, parasut dan lain-lainSubgolongan ini juga mencakup :- Industri tekstil yang merupakan bagian dari selimut listrik - Industri permadani hiasan dinding dengan tenunan tangan - Industri penutup banSubgolongan ini tidak mencakup :- Industri barang-barang tekstil untuk keperluan teknik, lihat 1399"
528,,"INDUSTRI BARANG JADI TEKSTIL UNTUK KEPERLUAN RUMAH TANGGA",13921,,,,"Kelompok ini mencakup usaha pembuatan barang-barang jadi tekstil, seperti selimut, seprei, taplak meja, sarung bantal, bed cover, gorden, handuk, sarung alas kursi, sajadah/penutup lantai yang dibuat dengan proses penggabungan dan/atau penjahitan beberapa bahan tekstil, selubung mobil dan selimut listrik dan lain-lain. Sajadah/penutup lantai dari karpet/permadani dimasukkan dalam kelompok 13930."
529,,"INDUSTRI BARANG JADI TEKSTIL SULAMAN",13922,,,,"Kelompok ini mencakup usaha barang jadi tekstil sulaman, baik yang dikerjakan dengan tangan maupun dengan mesin, seperti pakaian/barang jadi sulaman dan badge."
530,,"INDUSTRI BANTAL DAN SEJENISNYA",13923,,,,"Kelompok ini mencakup usaha pembuatan bantal dan sejenisnya, seperti bantal dan guling, selimut kapas, selimut bulu angsa, bantal kursi, kantong tidur dan lain-lain dari kapuk, dakron dan sejenisnya."
531,,"INDUSTRI BARANG JADI RAJUTAN DAN SULAMAN",13924,,,,"Kelompok ini mencakup usaha pembuatan barang jadi rajutan, seperti kaos lampu, deker, bando."
532,,"INDUSTRI KARUNG GONI",13925,,,,"Kelompok ini mencakup usaha pembuatan karung goni."
533,,"INDUSTRI KARUNG BUKAN GONI",13926,,,,"Kelompok ini mencakup usaha pembuatan karung bagor (karung terigu/gula blacu) dan karung lainnya. Kecuali pembuatan karung plastik masuk dalam kelompok 22220."
534,,"INDUSTRI BARANG JADI TEKSTIL LAINNYA",13929,,,,"Kelompok ini mencakup usaha pembuatan barang jadi tekstil lainnya, seperti layar, tenda, bendera, terpal, parasut, pelampung/jaket penyelamat dan lain-lain: lap pembersih, serbet piring dan barang perlengkapan sejenisnya dan lain-lain."
535,,"INDUSTRI KARPET DAN PERMADANI",1393,,,,"Subgolongan ini mencakup :- Industri tekstil penutup lantai, seperti karpet, permadani dan keset ubin - Industri penutup lantai dari lakan atau bulu kempa yang dibuat dengan jarum tenunSubgolongan ini tidak mencakup :- Industri keset dan tikar dari bahan anyaman, lihat 1629- Industri penutup lantai dari gabus, lihat 1629- Industri penutup lantai yang lentur seperti vinil, linoleum, lihat 2229"
536,,"INDUSTRI KARPET DAN PERMADANI",13930,,,,"Kelompok ini mencakup usaha pembuatan karpet, permadani, sajadah, dan sejenisnya yang terbuat dari serat, baik serat alam, sintetis maupun serat campuran, baik yang dikerjakan dengan proses tenun (woven), tufting, braiding, flocking dan needle punching. Termasuk industri penutup lantai dari lakan atau bulu kempa yang dibuat dengan jarum tenun. Karpet yang terbuat dari bahan-bahan gabus, karet atau plastik masing-masing dimasukkan dalam kelompok 16299, 22191 atau 22210. Sajadah/penutup lantai yang dibuat dengan proses penggabungan dan/atau penjahitan beberapa bahan tekstil dimasukkan dalam kelompok 13921. Kain alas lantai dengan lapisan permukaan keras dimasukkan dalam kelompok 13999."
537,,"INDUSTRI TALI DAN BARANG DARI TALI",1394,,,,"Subgolongan ini mencakup :- Industri tali ikat, tali temali, tali dan kabel dari serat atau carik tekstil atau sejenisnya baik yang diisi atau tidak, dilapisi atau tidak, ditutupi atau tidak, dan disarungi atau tidak oleh karet atau plastik- Industri jala rajut dari tali ikat, tali temali atau tali- Industri barang dari tali atau jala, seperti jala ikan, spatbor kapal (ship\&#039;s fenders), alas duduk yang terpisah (unloading cushions), kain gendongan yang diisi, tali atau kabel dengan cincin logam dan lainnyaSubgolongan ini tidak mencakup :- Industri jaring rambut/harnest, lihat 1413 - Industri tali kabel, lihat 2595"
538,,"INDUSTRI TALI",13941,,,,"Kelompok ini mencakup usaha pembuatan berbagai macam tali, baik terbuat dari serat alam maupun serat sintetis atau serat campuran, seperti tali rami, tali goni (yute), tali sisal (agave), tali rafia dan tali nylon."
539,,"INDUSTRI BARANG DARI TALI",13942,,,,"Kelompok ini mencakup usaha pembuatan barang-barang dari tali, seperti jaring ikan, jala ikan, tali kapal, tali sepatu, sumbu kompor dan sumbu lampu, baik terbuat dari tali serat alam, tali serat sintetis atau tali serat campuran."
540,,"INDUSTRI TEKSTIL LAINNYA YTDL",1399,,,,"Subgolongan ini mencakup semua kegiatan yang berhubungan dengan industri tekstil atau produk tekstil, yang tidak secara khusus tercakup di golongan pokok 13 atau 14, mencakup sejumlah besar proses dan bermacam-macam jenis barang.Subgolongan ini mencakup :- Industri kain tenun narrow (tipis)- Industri label, badge dan lain-lain- Industri penghiasan ornamen (hiasan), seperti pita, jumbai, pompon dan lain-lain- Industri lakan atau bulu kempa- Industri kain tulle dan kain jaring lainnya dan renda serta sulaman- Industri kain yang dilapisi, diisi, ditutupi atau dilaminasi dengan plastik- Industri benang rajutan yang dimetalisasi atau benang rajutan yang di gimp dan benang atau tali karet yang dilapisi dengan bahan tekstil, benang atau potongan kain yang diisi, dilapisi dan dibungkus dengan karet atau plastik- Industri kain tali tyre dari benang rajutan dengan ketahanan tinggi buatan tangan- Industri kain dengan lapisan lain, seperti kain untuk menggambar/menjiplak, kain kanvas yang digunakan pelukis, bukram (linen untuk menjilid buku) dan kain yang dikeraskan sejenis, kain yang dilapisi dengan getah atau amylaceous- Industri berbagai barang tekstil, seperti sumbu kain, mantel gas pijar dan selang gas- Kain mantel, selang air yang mengandung unsur tekstil, lajur atau ban berjalan pembawa barang (baik yang dikuatkan dengan logam atau bahan lain atau tidak), kain gulungan dan kain tapis- Hiasan untuk kendaraan atau otomotif- Industri pita pakaian yang sensitif tekanan- Papan kanvas seniman dan kain untuk menggambar atau menjiplak- Industri tali sepatu dari tekstil- Industri handuk atau lap muka dan puff bedakSubgolongan ini tidak mencakup :- Industri penutup lantai dari lakan atau bulu kempa yang dibuat dengan jarum tenun, lihat 1393- Industri kapas tekstil dan barang-barang dari kapas, seperti tisue kesehatan, tampon dan lain-lain, lihat 1709- Industri lajur atau ban berjalan pembawa barang dari kain, benang atau kabel yang diisi, dilapisi, ditutupi dengan karet di mana karet menjadi unsur utama, lihat 2219- Industri lempengan atau lembaran serat karet atau plastik yang dicampur tekstil dengan tujuan hanya untuk menguatkan, lihat 2219, 2229- Industri kain yang dibuat dari kawat logam yang ditenun, lihat 2599"
541,,"INDUSTRI KAIN PITA (NARROW FABRIC)",13991,,,,"Kelompok ini mencakup usaha pembuatan kain pita, seperti kain pita, renda, kain label, velcro, dan badges."
542,,"INDUSTRI YANG MENGHASILKAN KAIN KEPERLUAN INDUSTRI",13992,,,,"Kelompok ini mencakup usaha pembuatan kain dilapisi/ditutupi/diresapi dengan plastik atau karet dan selanjutnya digunakan untuk keperluan industri, seperti kain terpal, kain layar, kain tenda, kain payung, kain kanvas untuk melukis dan kulit imitasi dari media tekstil."
543,,"INDUSTRI NON WOVEN (BUKAN TENUNAN)",13993,,,,"Kelompok ini mencakup usaha industri kain yang dibuat tanpa dengan proses anyaman atau perajutan, seperti kain kempa, kain felting dan kain laken. Termasuk industri kain untuk keperluan pelayanan kesehatan manusia, seperti duk operasi (surgical drape); baju, masker, penutup kepala dan perlengkapan non woven lain untuk operasi; dan pembalut luka non woven."
544,,"INDUSTRI KAIN BAN",13994,,,,"Kelompok ini mencakup usaha pembuatan kain ban dari benang sintetik kekuatan tinggi, seperti kain ban dari nylon dan kain ban dari polyester."
545,,"INDUSTRI KAPUK",13995,,,,"Kelompok ini mencakup usaha pengolahan kapuk."
546,,"INDUSTRI KAIN TULLE DAN KAIN JARING",13996,,,,"Kelompok ini mencakup usaha pembuatan kain tulle, kain trikot, kain bordir, dan kain jaring lainnya. Jaring ikan dikelompokkan ke dalam 13942."
547,,"INDUSTRI TEKSTIL LAINNYA YTDL",13999,,,,"Kelompok ini mencakup usaha industri tekstil lainnya yang belum/tidak tercakup dalam golongan industri tekstil manapun, seperti benang karet, benang logam dan pipa/selang kain dan lainnya."
548,,"INDUSTRI PAKAIAN JADI",14,,,,"Golongan pokok ini mencakup semua pekerjaan menjahit (pakaian siap pakai atau dibuat berdasarkan ukuran/pesanan), dalam semua bahan (seperti kulit, kain tenun, kain rajutan atau sulaman dan lain-lain), dari semua jenis pakaian (seperti pakaian luar; pakaian dalam pria; wanita atau anak-anak; pakaian kerja; dan pakaian santai dan lain-lain) dan asesoris, tidak ada perbedaan dalam pembuatan antara baju untuk anak-anak dan orang dewasa, atau antara pakaian tradisional dan modern. Golongan pokok ini mencakup industri bulu binatang (pakaian dari bulu binatang dan kulit yang berbulu)."
549,,"INDUSTRI PAKAIAN JADI DAN PERLENGKAPANNYA, BUKAN PAKAIAN JADI DARI KULIT BERBULU",141,,,,"Golongan ini mencakup pembuatan pakaian. Bahan yang digunakan berbagai macam seperti bahan dilapisi, di-impregnasi, atau dilapisi karet dan kulit atau kulit campuran, kain woven, rajutan atau tenunan, kain non woven. Bahan tekstil untuk alas kaki tanpa sol. Golongan ini juga mencakup pembuatan pakaian dalam, pakaian tidur, pakaian kerja. Kaus, gaun, blus, pakaian bayi, pakaian olahraga, topi dan peci, dan aksesori pakaian lain (seperti sarung tangan, ikat pinggang, selendang, hairnet dan lain-lain) untuk pria-wanita dan anak-anak, kegiatan jahit menjahit dan pembuatan bagian-bagian dari produk yang sudah disebutkan sebelumnya."
550,,"INDUSTRI PAKAIAN JADI (BUKAN PENJAHITAN DAN PEMBUATAN PAKAIAN)",1411,,,,"Subgolongan ini mencakup industri pakaian jadi. Bahan yang digunakan berbagai macam, seperti bahan yang dilapisi, di-impregnasi atau berkaret.Subgolongan ini mencakup:- Industri pembuatan pakaian jadi dari kulit atau kulit campuran, termasuk aksesori pakaian dari kulit seperti pakaian kerja las (welder) dari kulit- Industri pakaian kerja- Industri pakaian lainnya yang terbuat dari tenunan, rajutan atau sulaman, bukan tenunan, dan lainnya untuk laki-laki, perempuan, dan anak-anak, seperti jas/mantel, setelan, jaket, celana, rok, dan lainnya- Industri pakaian dalam dan pakaian tidur yang terbuat dari kain tenun, kain rajut atau sulaman, kain renda (lace) dan lainnya untuk laki laki, perempuan, dan anak-anak, seperti kemeja, kaos, celana dalam, piyama, baju tidur, kimono, blus, korset, rok dalam, kutang, dan lain-lain- Industri pakaian bayi, pakaian olahraga, pakaian ski, pakaian renang dan lain-lain- Industri bagian dari barang-barang pada subgolongan iniSubgolongan ini tidak mencakup:- Industri pakaian jadi dari kulit berbulu (kecuali tutup kepala), lihat 1420 - Industri pakaian jadi dari karet atau plastik yang tidak dijahit tetapi direkatkan bersamaan, lihat 2219, 2229- Industri pakaian pelindung dan tahan api, lihat 3290"
551,,"INDUSTRI PAKAIAN JADI (KONVEKSI) DARI TEKSTIL",14111,,,,"Kelompok ini mencakup usaha pembuatan pakaian jadi (konveksi) dari tekstil/kain (tenun maupun rajutan) dengan cara memotong dan menjahit sehingga siap dipakai, seperti kemeja, celana, kebaya, blus, rok, baju bayi, pakaian tari dan pakaian olahraga."
552,,"INDUSTRI PAKAIAN JADI (KONVEKSI) DARI KULIT",14112,,,,"Kelompok ini mencakup usaha pembuatan pakaian jadi (konveksi) dari kulit atau kulit imitasi, dengan cara memotong dan menjahit sehingga siap pakai, seperti jaket, mantel, rompi, celana dan rok. Termasuk pembuatan aksesori pakaian dari kulit seperti pakaian pekerja las (welder) dari kulit."
553,,"PENJAHITAN DAN PEMBUATAN PAKAIAN SESUAI PESANAN",1412,,,,"Subgolongan ini mencakup :- Kegiatan penjahitan dan pembuatan pakaian sesuai pesanan - Industri bagian dari barang-barang pada subgolongan iniSubgolongan ini mencakup :- Perbaikan pakaian jadi, lihat 9529"
554,,"PENJAHITAN DAN PEMBUATAN PAKAIAN SESUAI PESANAN",14120,,,,"Kelompok ini mencakup usaha penjahitan dan pembuatan pakaian sesuai pesanan yang melayani masyarakat umum dengan tujuan komersil."
555,,"INDUSTRI PERLENGKAPAN PAKAIAN YANG UTAMANYA TERBUAT DARI TEKSTIL",1413,,,,"Subgolongan ini mencakup :- Industri topi dan peci- Industri aksesoris pakaian lainnya, seperti sarung tangan, ikat pinggang/sabuk, syal, dasi, bando, dasi tuksedo, jaring rambut, dan lainnya- Industri pelindung kepala dari kulit berbulu- Industri alas kaki dari bahan tekstil tanpa sol- Industri bagian dari barang-barang pada subgolongan iniSubgolongan ini tidak mencakup :- Industri alas kaki, lihat 1520- Industri sarung tangan kulit dan pelindung kepala olahraga, lihat 3230 - Industri pelindung keselamatan kepala (kecuali pelindung kepala olahraga), lihat 3290"
556,,"INDUSTRI PERLENGKAPAN PAKAIAN DARI TEKSTIL",14131,,,,"Kelompok ini mencakup usaha pembuatan perlengkapan pakaian jadi (konveksi) tekstil dan dari kain dengan cara memotong dan menjahit sehingga siap dipakai, seperti topi, peci, dasi, sarung tangan, mukena, selendang, kerudung, ikat pinggang, syal, bando, dasi tuksedo, jaring rambut, dan lain-lain, baik dari kain tenun maupun kain rajut yang dijahit. Termasuk industri alas kaki dari bahan kain tanpa sol dan bagian-bagian dari produk yang disebutkan sebelumnya."
557,,"INDUSTRI PERLENGKAPAN PAKAIAN DARI KULIT",14132,,,,"Kelompok ini mencakup usaha pembuatan perlengkapan pakaian jadi dari kulit atau kulit imitasi, dengan cara memotong dan menjahit sehingga siap pakai, seperti topi, sarung tangan, ikat pinggang, bando, jaring rambut, dan lain-lain. Termasuk industri penutup kepala dari kulit berbulu dan bagian-bagian dari produk yang disebutkan sebelumnya."
558,,"INDUSTRI PAKAIAN JADI DAN BARANG DARI KULIT BERBULU",142,,,,"Golongan ini mencakup pembuatan barang-barang dari kulit berbulu seperti pakaian dari kulit berbulu dan aksesori pakaian. Berbagai barang dari kulit berbulu seperti; gambar, kesetan dan lain-lain. Golongan ini tidak mencakup pengolahan kulit berbulu mentah, kulit dan jangat mentah, pembuatan kulit berbulu imitasi, pengolahan dan pencelupan kulit berbulu dan alas kaki yang bagiannya ada kulit berbulu."
559,,"INDUSTRI PAKAIAN JADI DAN BARANG DARI KULIT BERBULU",1420,,,,"Subgolongan ini mencakup :- Industri barang-barang yang terbuat dari kulit berbulu, seperti pakaian dan aksesori pakaian dari kulit berbulu; berbagai barang dari kulit berbulu, seperti gambar, tikar, keset, dan lain-lain; barang-barang lain dari kulit berbulu, seperti permadani, pouffes tanpa isi, kain kilap industriSubgolongan ini tidak mencakup :- Produksi kulit berbulu mentah, lihat golongan 014 dan 017- Produksi kulit dan kulit jangat mentah, lihat 1013- Industri kulit berbulu imitasi (pakaian berbulu panjang yang dibuat dengan cara ditenun atau dirajut), lihat 1312,1391- Industri pakaian yang dihias dengan kulit berbulu, lihat 1411- Industri penutup kepala kulit berbulu, lihat 1413- Pengolahan dan pencelupan kulit berbulu, lihat 1511- Industri bot atau sepatu yang bagiannya ada kulit berbulu, lihat 1520"
560,,"INDUSTRI PAKAIAN JADI DAN BARANG DARI KULIT BERBULU",14200,,,,"Kelompok ini mencakup usaha pembuatan pakaian jadi/barang jadi dari kulit berbulu dan atau perlengkapannya, seperti mantel berbulu, berbagai barang dari kulit berbulu, misalnya gambar, tikar, keset dan barang lain dari kulit berbulu, seperti permadani, pouffes tanpa isi, kain kilap industri."
561,,"INDUSTRI PAKAIAN JADI RAJUTAN DAN SULAMAN/BORDIR",143,,,,"Golongan ini mencakup pembuatan pakaian dari bahan rajutan atau sulaman dan barang-barang jadi lain (seperti sweater, cardigan, kaos, rompi dan barang sejenis), serta kaos kaki, termasuk kaos kaki pendek, stocking dan pantyhose. Golongan ini tidak mencakup pembuatan bahan dari rajutan atau sulaman."
562,,"INDUSTRI PAKAIAN JADI RAJUTAN DAN SULAMAN/BORDIR",1430,,,,"Subgolongan ini mencakup :- Industri pembuatan pakaian jadi dari bahan rajutan atau sulaman dan barang-barang jadi lain, seperti sweater, kardigan, baju kaos, mantel, dan barang sejenisnya- Industri kaos kaki, termasuk kaos kaki, stocking, pantyhoseSubgolongan ini tidak mencakup :- Industri kain rajutan dan sulaman, lihat 1391"
563,,"INDUSTRI PAKAIAN JADI RAJUTAN",14301,,,,"Kelompok ini mencakup usaha pembuatan pakaian jadi, seperti sweater, kardigan, baju kaos, mantel, dan barang sejenisnya, termasuk topi yang dibuat dengan cara dirajut ataupun renda, kecuali industri rajutan kaos kaki."
564,,"INDUSTRI PAKAIAN JADI SULAMAN/BORDIR",14302,,,,"Kelompok ini mencakup usaha pakaian jadi sulaman, baik yang dikerjakan dengan tangan maupun dengan mesin."
